"Underemployment rate, Seasonally adjusted"
,"People (%)","Males (%)","Females (%)"
"Sep-15","8.8","6.7","11.1"
"Oct-15","8.7","6.7","11.0"
"Nov-15","8.6","6.7","10.8"
"Dec-15","8.5","6.3","10.9"
"Jan-16","8.5","6.6","10.7"
"Feb-16","8.4","6.6","10.4"
"Mar-16","8.4","6.6","10.5"
"Apr-16","8.6","7.1","10.4"
"May-16","8.3","6.7","10.3"
"Jun-16","8.8","7.0","10.8"
"Jul-16","9.0","7.1","11.3"
"Aug-16","8.8","7.1","10.7"
"Sep-16","8.7","6.9","10.8"
"Oct-16","8.5","6.8","10.5"
"Nov-16","8.5","6.7","10.6"
"Dec-16","8.6","6.7","10.7"
"Jan-17","8.7","6.9","10.9"
"Feb-17","9.0","7.0","11.3"
"Mar-17","8.6","6.8","10.6"
"Apr-17","8.7","6.7","11.1"
"May-17","8.7","6.8","11.0"
"Jun-17","8.4","6.6","10.5"
"Jul-17","8.5","6.9","10.4"
"Aug-17","8.6","6.8","10.6"
"Sep-17","8.5","6.7","10.6"
"Oct-17","8.5","6.6","10.6"
"Nov-17","8.5","6.7","10.6"
"Dec-17","8.5","6.4","10.8"
"Jan-18","8.7","7.0","10.6"
"Feb-18","8.5","6.7","10.5"
"Mar-18","8.6","6.6","10.8"
"Apr-18","8.4","6.4","10.7"
"May-18","8.5","6.5","10.8"
"Jun-18","8.6","6.6","10.9"
"Jul-18","8.5","6.4","10.8"
"Aug-18","8.2","6.0","10.6"
"Sep-18","8.3","6.3","10.5"
"Oct-18","8.2","6.2","10.5"
"Nov-18","8.5","6.6","10.7"
"Dec-18","8.3","6.4","10.4"
"Jan-19","8.1","6.2","10.2"
"Feb-19","8.0","6.2","9.9"
"Mar-19","8.2","6.5","10.1"
"Apr-19","8.4","6.8","10.3"
"May-19","8.7","6.9","10.8"
"Jun-19","8.2","6.6","10.0"
"Jul-19","8.4","6.7","10.3"
"Aug-19","8.5","6.9","10.2"
"Sep-19","8.3","6.8","10.0"
"Oct-19","8.4","6.7","10.4"
"Nov-19","8.3","6.6","10.2"
"Dec-19","8.3","6.6","10.2"
"Jan-20","8.5","6.6","10.7"
"Feb-20","8.5","6.7","10.6"
"Mar-20","8.7","7.1","10.5"
"Apr-20","13.6","12.4","14.9"
"May-20","13.3","12.2","14.6"
"Jun-20","11.6","10.7","12.7"
"Jul-20","11.2","10.4","12.1"
"Aug-20","11.1","10.4","11.9"
"Sep-20","11.2","10.5","12.0"
"Oct-20","10.2","9.0","11.6"
"Nov-20","9.3","7.9","10.9"
"Dec-20","8.5","7.0","10.2"
"Jan-21","8.1","6.9","9.4"
"Feb-21","8.4","7.4","9.5"
"Mar-21","7.9","6.7","9.2"
"Apr-21","7.8","6.5","9.2"
"May-21","7.7","6.5","9.1"
"Jun-21","7.9","6.8","9.2"
"Jul-21","8.3","7.1","9.6"
"Aug-21","9.2","8.4","10.0"
"Sep-21","9.1","8.3","10.0"
"Oct-21","9.4","8.8","9.9"
"Nov-21","7.5","6.2","9.0"
"Dec-21","6.7","5.6","7.8"
"Jan-22","6.6","5.4","7.8"
"Feb-22","6.6","5.5","7.8"
"Mar-22","6.3","5.1","7.6"
"Apr-22","6.2","5.1","7.4"
"May-22","6.0","4.9","7.2"
"Jun-22","6.1","5.1","7.3"
"Jul-22","6.1","5.0","7.4"
"Aug-22","6.0","4.9","7.2"
"Sep-22","6.0","5.0","7.1"
"Oct-22","6.0","5.0","7.2"
"Nov-22","5.9","4.7","7.3"
"Dec-22","6.2","5.1","7.4"
"Jan-23","6.2","5.1","7.3"
"Feb-23","5.9","4.9","7.1"
"Mar-23","6.2","5.0","7.6"
"Apr-23","6.1","5.1","7.2"
"May-23","6.5","5.3","7.8"
"Jun-23","6.5","5.2","7.9"
"Jul-23","6.5","5.5","7.6"
"Aug-23","6.6","5.7","7.6"
"Sep-23","6.4","5.6","7.2"
"Oct-23","6.4","5.4","7.5"
"Nov-23","6.6","5.6","7.7"
"Dec-23","6.6","5.3","8.0"
"Jan-24","6.7","5.5","8.0"
"Feb-24","6.6","5.5","7.8"
"Mar-24","6.5","5.5","7.5"
"Apr-24","6.5","5.3","7.9"
"May-24","6.7","5.3","8.3"
"Jun-24","6.4","5.3","7.5"
"Jul-24","6.3","5.2","7.6"
"Aug-24","6.5","5.6","7.5"
"Sep-24","6.3","5.2","7.5"
"Oct-24","6.2","5.1","7.4"
"Nov-24","6.1","4.9","7.3"
"Dec-24","6.0","4.9","7.2"
"Jan-25","6.0","5.0","7.1"
"Feb-25","5.9","4.9","7.0"
"Mar-25","5.9","4.8","7.0"
"Apr-25","6.0","5.2","6.9"
"May-25","5.9","5.0","6.8"
"Jun-25","6.0","5.2","6.8"
"Jul-25","5.9","5.1","6.7"
"Aug-25","5.7","4.9","6.5"
"Sep-25","5.9","5.2","6.8"

"Source: Australian Bureau of Statistics, Labour Force, Australia September 2025"